idx,send_s,status,latency_ms,queue_wait_ms,batch_size,queue_depth_at_enqueue
99,5.5009,200,2186.56,1068.68,8.0,2.0
100,5.5564,200,2128.96,1013.63,8.0,3.0
101,5.6114,200,2073.42,958.63,8.0,4.0
102,5.6674,200,2020.43,902.75,8.0,5.0
103,5.7233,200,1961.84,846.85,8.0,6.0
104,5.7781,200,1906.43,792.02,8.0,7.0
105,5.8340,200,2961.36,1845.75,8.0,8.0
106,5.8896,200,2902.50,1789.71,8.0,9.0
107,5.9447,503,2.84,nan,nan,10.0
108,6.0007,503,2.86,nan,nan,10.0
109,6.0568,503,1.92,nan,nan,10.0
110,6.1118,503,1.71,nan,nan,10.0
111,6.1678,503,3.06,nan,nan,10.0
112,6.2241,503,2.83,nan,nan,10.0
113,6.2781,503,2.88,nan,nan,10.0
114,6.3342,503,2.79,nan,nan,10.0
115,6.3903,503,2.80,nan,nan,10.0
116,6.4463,503,2.75,nan,nan,10.0
117,6.5003,503,2.81,nan,nan,10.0
118,6.5563,503,2.77,nan,nan,10.0
119,6.6123,200,2176.88,1068.05,8.0,2.0
120,6.6672,200,2127.53,1013.12,8.0,3.0
121,6.7231,200,2071.96,956.93,8.0,4.0
122,6.7785,200,2013.33,901.35,8.0,5.0
123,6.8341,200,1958.45,845.68,8.0,6.0
124,6.8897,200,1903.19,790.72,8.0,7.0
125,6.9447,200,2957.93,1842.34,8.0,8.0
126,7.0008,200,2901.45,1786.31,8.0,9.0
127,7.0562,503,3.46,nan,nan,10.0
128,7.1129,503,3.06,nan,nan,10.0
129,7.1672,503,3.01,nan,nan,10.0
130,7.2234,503,2.83,nan,nan,10.0
131,7.2794,503,2.90,nan,nan,10.0
132,7.3335,503,2.78,nan,nan,10.0
133,7.3895,503,2.86,nan,nan,10.0
134,7.4456,503,2.79,nan,nan,10.0
135,7.5016,503,2.67,nan,nan,10.0
136,7.5575,503,2.77,nan,nan,10.0
137,7.6115,503,2.75,nan,nan,10.0
138,7.6675,503,2.66,nan,nan,10.0
139,7.7231,200,2179.72,1063.94,8.0,2.0
140,7.7786,200,2123.95,1008.34,8.0,3.0
141,7.8342,200,2066.53,952.62,8.0,4.0
142,7.8898,200,2013.09,896.94,8.0,5.0
143,7.9454,200,1956.95,841.46,8.0,6.0
144,8.0010,200,1899.27,785.98,8.0,7.0
145,8.0565,200,2956.43,1842.47,8.0,8.0
146,8.1121,200,2903.68,1786.94,8.0,9.0
147,8.1676,503,3.30,nan,nan,10.0
148,8.2241,503,2.75,nan,nan,10.0
149,8.2781,503,2.73,nan,nan,10.0
150,8.3340,503,2.82,nan,nan,10.0
151,8.3901,503,2.83,nan,nan,10.0
152,8.4461,503,2.76,nan,nan,10.0
153,8.5021,503,2.81,nan,nan,10.0
154,8.5562,503,2.67,nan,nan,10.0
155,8.6121,503,2.58,nan,nan,10.0
156,8.6679,503,2.52,nan,nan,10.0
157,8.7236,503,2.78,nan,nan,10.0
158,8.7796,503,2.82,nan,nan,10.0
159,8.8337,200,2180.15,1065.30,8.0,2.0
160,8.8893,200,2126.70,1009.60,8.0,3.0
161,8.9449,200,2071.26,953.98,8.0,4.0
162,9.0005,200,2013.43,898.32,8.0,5.0
163,9.0563,200,1959.16,842.58,8.0,6.0
164,9.1119,200,1903.69,786.96,8.0,7.0
165,9.1675,200,2953.10,1843.28,8.0,8.0
166,9.2232,200,2895.08,1788.21,8.0,9.0
167,9.2787,503,3.66,nan,nan,10.0
168,9.3336,503,2.76,nan,nan,10.0
169,9.3896,503,2.79,nan,nan,10.0
170,9.4456,503,2.79,nan,nan,10.0
171,9.5016,503,3.16,nan,nan,10.0
172,9.5561,503,3.11,nan,nan,10.0
173,9.6124,503,3.45,nan,nan,10.0
174,9.6671,503,3.15,nan,nan,10.0
175,9.7235,503,2.88,nan,nan,10.0
176,9.7797,503,3.05,nan,nan,10.0
177,9.8339,503,1.39,nan,nan,10.0
178,9.8894,503,1.71,nan,nan,10.0
179,9.9451,200,2175.80,1066.96,8.0,2.0
180,10.0010,200,2119.42,1010.42,8.0,3.0
181,10.0566,200,2061.82,954.94,8.0,4.0
182,10.1118,200,2009.33,899.85,8.0,5.0
